美元账户铂金	1428.97	1440.97	1434.97	1438.88	1430.67	2013-11-12 20:37:26
美元账户钯金	744.50	756.50	750.50	755.64	748.00	2013-11-12 20:37:26
人民币账户黄金	250.68	251.48	251.08	251.53	250.02	2013-11-12 20:45:30
人民币账户白银	4.14	4.18	4.16	4.20	4.13	2013-11-12 20:45:30
人民币账户铂金	279.80	282.20	281.00	281.87	280.19	2013-11-12 20:45:30
人民币账户钯金	145.69	148.09	146.89	147.96	146.59	2013-11-12 20:45:30
美元账户黄金	1280.42	1283.42	1281.92	1284.30	1276.55	2013-11-12 20:45:30
美元账户白银	21.14	21.30	21.22	21.42	21.08	2013-11-12 20:45:30
美元账户铂金	1428.70	1440.70	1434.70	1438.88	1430.67	2013-11-12 20:45:30
美元账户钯金	744.00	756.00	750.00	755.64	748.00	2013-11-12 20:45:30
人民币账户黄金	250.66	251.46	251.06	251.53	250.02	2013-11-12 20:50:48
人民币账户白银	4.14	4.18	4.16	4.20	4.13	2013-11-12 20:50:48
人民币账户铂金	279.69	282.09	280.89	281.87	280.19	2013-11-12 20:50:48
人民币账户钯金	145.69	148.09	146.89	147.96	146.59	2013-11-12 20:50:48
美元账户黄金	1280.32	1283.32	1281.82	1284.30	1276.55	2013-11-12 20:50:48
美元账户白银	21.14	21.30	21.22	21.42	21.08	2013-11-12 20:50:48
美元账户铂金	1428.31	1440.31	1434.31	1438.88	1430.67	2013-11-12 20:50:48
美元账户钯金	744.00	756.00	750.00	755.64	748.00	2013-11-12 20:50:48
人民币账户黄金	250.56	251.36	250.96	251.53	250.02	2013-11-12 20:53:43
人民币账户白银	4.13	4.17	4.15	4.20	4.13	2013-11-12 20:53:43
人民币账户铂金	279.71	282.11	280.91	281.87	280.19	2013-11-12 20:53:43
人民币账户钯金	145.50	147.90	146.70	147.96	146.59	2013-11-12 20:53:43
美元账户黄金	1279.82	1282.82	1281.32	1284.30	1276.55	2013-11-12 20:53:43
美元账户白银	21.12	21.28	21.20	21.42	21.08	2013-11-12 20:53:43
美元账户铂金	1428.23	1440.23	1434.23	1438.88	1430.67	2013-11-12 20:53:43
美元账户钯金	743.00	755.00	749.00	755.64	748.00	2013-11-12 20:53:43
人民币账户黄金	250.53	251.33	250.93	251.53	250.02	2013-11-12 21:01:02
人民币账户白银	4.14	4.18	4.16	4.20	4.13	2013-11-12 21:01:02
人民币账户铂金	279.72	282.12	280.92	281.87	280.19	2013-11-12 21:01:02
人民币账户钯金	145.69	148.09	146.89	147.96	146.59	2013-11-12 21:01:02
美元账户黄金	1279.70	1282.70	1281.20	1284.30	1276.55	2013-11-12 21:01:02
美元账户白银	21.14	21.30	21.22	21.42	21.08	2013-11-12 21:01:02
美元账户铂金	1428.28	1440.28	1434.28	1438.88	1430.67	2013-11-12 21:01:02
美元账户钯金	744.00	756.00	750.00	755.64	748.00	2013-11-12 21:01:02
人民币账户黄金	250.51	251.31	250.91	251.53	250.02	2013-11-12 21:02:02
人民币账户白银	4.14	4.18	4.16	4.20	4.13	2013-11-12 21:02:02
人民币账户铂金	279.71	282.11	280.91	281.87	280.19	2013-11-12 21:02:02
人民币账户钯金	145.60	148.00	146.80	147.96	146.59	2013-11-12 21:02:02
美元账户黄金	1279.50	1282.50	1281.00	1284.30	1276.55	2013-11-12 21:02:02
美元账户白银	21.14	21.29	21.22	21.42	21.08	2013-11-12 21:02:02
美元账户铂金	1427.84	1439.84	1433.84	1438.88	1430.67	2013-11-12 21:02:02
美元账户钯金	743.50	755.50	749.50	755.64	748.00	2013-11-12 21:02:02
人民币账户黄金	250.51	251.31	250.91	251.53	250.02	2013-11-12 21:03:01
人民币账户白银	4.14	4.18	4.16	4.20	4.13	2013-11-12 21:03:01
人民币账户铂金	279.63	282.03	280.83	281.87	280.19	2013-11-12 21:03:01
人民币账户钯金	145.60	148.00	146.80	147.96	146.59	2013-11-12 21:03:01
美元账户黄金	1279.60	1282.60	1281.10	1284.30	1276.55	2013-11-12 21:03:01
美元账户白银	21.14	21.30	21.22	21.42	21.08	2013-11-12 21:03:01
美元账户铂金	1427.84	1439.84	1433.84	1438.88	1430.67	2013-11-12 21:03:01
美元账户钯金	743.50	755.50	749.50	755.64	748.00	2013-11-12 21:03:01
人民币账户黄金	250.56	251.36	250.96	251.53	250.02	2013-11-12 21:04:02
人民币账户白银	4.14	4.18	4.16	4.20	4.13	2013-11-12 21:04:02
人民币账户铂金	279.70	282.10	280.90	281.87	280.19	2013-11-12 21:04:02
人民币账户钯金	145.60	148.00	146.80	147.96	146.59	2013-11-12 21:04:02
美元账户黄金	1279.85	1282.85	1281.35	1284.30	1276.55	2013-11-12 21:04:02
美元账户白银	21.15	21.30	21.22	21.42	21.08	2013-11-12 21:04:02
美元账户铂金	1428.21	1440.21	1434.21	1438.88	1430.67	2013-11-12 21:04:02
美元账户钯金	743.50	755.50	749.50	755.64	748.00	2013-11-12 21:04:02
人民币账户黄金	250.75	251.55	251.15	251.53	250.02	2013-11-12 21:05:02
人民币账户白银	4.14	4.18	4.16	4.20	4.13	2013-11-12 21:05:02
人民币账户铂金	279.87	282.27	281.07	281.87	280.19	2013-11-12 21:05:02
人民币账户钯金	145.60	148.00	146.80	147.96	146.59	2013-11-12 21:05:02
美元账户黄金	1280.78	1283.78	1282.28	1284.30	1276.55	2013-11-12 21:05:02
美元账户白银	21.18	21.33	21.26	21.42	21.08	2013-11-12 21:05:02
美元账户铂金	1429.06	1441.06	1435.06	1438.88	1430.67	2013-11-12 21:05:02
美元账户钯金	743.50	755.50	749.50	755.64	748.00	2013-11-12 21:05:02
人民币账户黄金	250.75	251.55	251.15	251.53	250.02	2013-11-12 21:06:28
人民币账户白银	4.14	4.18	4.16	4.20	4.13	2013-11-12 21:06:28
人民币账户铂金	279.90	282.30	281.10	281.87	280.19	2013-11-12 21:06:28
人民币账户钯金	145.79	148.19	146.99	147.96	146.59	2013-11-12 21:06:28
美元账户黄金	1281.02	1284.02	1282.52	1284.30	1276.55	2013-11-12 21:06:28
美元账户白银	21.18	21.33	21.26	21.42	21.08	2013-11-12 21:06:28
美元账户铂金	1429.41	1441.41	1435.41	1438.88	1430.67	2013-11-12 21:06:28
美元账户钯金	744.50	756.50	750.50	755.64	748.00	2013-11-12 21:06:28
人民币账户黄金	250.95	251.75	251.35	251.53	250.02	2013-11-12 21:07:02
人民币账户白银	4.15	4.19	4.17	4.20	4.13	2013-11-12 21:07:02
人民币账户铂金	280.01	282.41	281.21	281.87	280.19	2013-11-12 21:07:02
人民币账户钯金	145.89	148.29	147.09	147.96	146.59	2013-11-12 21:07:02
美元账户黄金	1281.80	1284.80	1283.30	1284.30	1276.55	2013-11-12 21:07:02
